ccode,scode,country,year,scoup1,atcoup2,pcoup3,apcoup4,agcoup,foroutex,reboutex,assassex,resignex,treatment,external_debt_to_gni,group_indicator,GDP_Growth,GDP_per_Capita,Inflation_CPI,Terms_of_Trade,cpiamacr,cpiadebt,Primary_fiscal_balance,EconomicFreedomIndex,Polity2_Score
110,GUY,Guyana,1990,0,0,0,0,0,0,0,0,0,0,678.6665419333027,0.0,,,,,,,,,
41,HAI,Haiti,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
91,HON,Honduras,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
310,HUN,Hungary,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
750,IND,India,1990,0,0,0,0,0,0,0,0,0,0,26.35038601196856,0.0,,,,,,,,,
850,INS,Indonesia,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
205,IRE,Ireland,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
630,IRN,Iran,1990,0,0,0,0,0,0,0,0,0,0,7.23479851404622,0.0,,,,,,,,,
645,IRQ,Iraq,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
666,ISR,Israel,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
325,ITA,Italy,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
437,IVO,Ivory Coast,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
51,JAM,Jamaica,1990,0,0,0,0,0,0,0,0,0,0,114.9553998255898,1.0,,,,,,,,,
663,JOR,Jordan,1990,0,0,0,0,0,0,0,0,0,1,211.2234186494281,0.0,,,,,,,,,
740,JPN,Japan,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
501,KEN,Kenya,1990,0,0,0,0,0,0,0,0,0,0,85.96928237043264,0.0,,,,,,,,,
690,KUW,Kuwait,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
812,LAO,Laos,1990,0,0,0,1,0,0,0,0,0,1,204.3227131120156,1.0,,,,,,,,,
450,LBR,Liberia,1990,0,0,0,0,0,0,1,1,0,1,390.2342636844855,0.0,,,,,,,,,
660,LEB,Lebanon,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
570,LES,Lesotho,1990,0,0,1,0,0,0,0,0,1,1,,,,,,,,,,,
620,LIB,Libya,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
212,LUX,Luxembourg,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
435,MAA,Mauritania,1990,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
580,MAG,Madagascar,1990,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
820,MAL,Malaysia,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
590,MAS,Mauritius,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
553,MAW,Malawi,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
70,MEX,Mexico,1990,0,0,0,0,0,0,0,0,0,0,41.40655465790638,0.0,,,,,,,,,
432,MLI,Mali,1990,0,0,0,0,0,0,0,0,0,1,92.5709091837647,0.0,,,,,,,,,
712,MON,Mongolia,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
600,MOR,Morocco,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
775,MYA,Myanmar (Burma),1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
541,MZM,Mozambique,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
565,NAM,Namibia,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
790,NEP,Nepal,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
920,NEW,New Zealand,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
93,NIC,Nicaragua,1990,0,0,0,0,0,0,0,0,0,0,1111.26988560932,0.0,,,,,,,,,
475,NIG,Nigeria,1990,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
436,NIR,Niger,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
385,NOR,Norway,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
210,NTH,Netherlands,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
698,OMA,Oman,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
770,PAK,Pakistan,1990,0,0,0,0,0,0,0,0,0,1,52.93146164987541,0.0,,,,,,,,,
95,PAN,Panama,1990,0,0,0,2,0,0,0,0,0,1,,0.0,,,,,,,,,
150,PAR,Paraguay,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
135,PER,Peru,1990,0,0,0,0,0,0,0,0,0,1,81.8468435049874,0.0,,,,,,,,,
840,PHI,Philippines,1990,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
910,PNG,Papua New Guinea,1990,0,1,0,0,0,0,0,0,0,1,83.77340713627397,0.0,,,,,,,,,
290,POL,Poland,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
235,POR,Portugal,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
731,PRK,Korea North,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
694,QAT,Qatar,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
732,ROK,Korea South,1990,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,
360,RUM,Romania,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
517,RWA,Rwanda,1990,0,0,0,0,0,0,0,0,0,1,28.04018551257917,0.0,,,,,,,,,
560,SAF,South Africa,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
92,SAL,El Salvador,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
670,SAU,Saudi Arabia,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
433,SEN,Senegal,1990,0,0,0,0,0,0,0,0,0,0,52.13024709936786,0.0,,,,,,,,,
451,SIE,Sierra Leone,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
830,SIN,Singapore,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
940,SOL,Solomon Islands,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
520,SOM,Somalia,1990,0,0,0,0,0,0,0,0,0,0,231.2803215397497,1.0,,,,,,,,,
230,SPN,Spain,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
780,SRI,Sri Lanka,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
625,SUD,Sudan,1990,0,1,0,1,0,0,0,0,0,1,,,,,,,,,,,
115,SUR,Suriname,1990,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
572,SWA,Swaziland,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
380,SWD,Sweden,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
225,SWZ,Switzerland,1990,0,0,0,0,0,0,0,0,0,0,21.81491881011685,0.0,,,,,,,,,
652,SYR,Syria,1990,0,0,0,0,0,0,0,0,0,0,,0.0,,,,,,,,,
713,TAW,Taiwan,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
510,TAZ,Tanzania,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
800,THI,Thailand,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
461,TOG,Togo,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
52,TRI,Trinidad,1990,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
616,TUN,Tunisia,1990,0,0,0,0,0,0,0,0,0,1,64.71655330644077,0.0,,,,,,,,,
640,TUR,Turkey,1990,0,0,0,0,0,0,0,0,0,1,33.36137104968465,0.0,,,,,,,,,
696,UAE,UAE,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
500,UGA,Uganda,1990,0,0,0,0,0,0,0,0,0,1,61.64128747690618,0.0,,,,,,,,,
200,UKG,United Kingdom,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
165,URU,Uruguay,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2,USA,United States,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
364,USR,USSR,1990,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,
101,VEN,Venezuela,1990,0,0,0,0,0,0,0,0,0,1,,0.0,,,,,,,,,
818,VIE,Vietnam,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
678,YAR,Yemen North,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
679,YEM,Yemen,1990,0,0,0,0,0,0,0,0,0,0,50.57531977866323,0.0,,,,,,,,,
680,YPR,Yemen South,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
345,YUG,Yugoslavia,1990,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
490,ZAI,Congo Kinshasa,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
551,ZAM,Zambia,1990,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
552,ZIM,Zimbabwe,1990,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
700,AFG,Afghanistan,1991,0,0,0,0,0,0,0,0,0,1,,1.0,,,,,,,,,
339,ALB,Albania,1991,0,0,0,0,0,0,0,0,0,1,47.45386392082546,0.0,,,,,,,,,
615,ALG,Algeria,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
540,ANG,Angola,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
160,ARG,Argentina,1991,0,0,0,0,0,0,0,0,0,1,35.71919300202364,0.0,,,,,,,,,
371,ARM,Armenia,1991,0,0,0,0,0,0,0,0,0,1,,0.0,,,,,,,,,
900,AUL,Australia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
305,AUS,Austria,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
373,AZE,Azerbaijan,1991,0,0,0,0,0,0,0,0,0,1,,0.0,,,,,,,,,
692,BAH,Bahrain,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
211,BEL,Belgium,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
434,BEN,Benin,1991,0,0,0,0,0,0,0,0,0,1,58.79060395163118,0.0,,,,,,,,,
439,BFO,Burkina Faso,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
760,BHU,Bhutan,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
370,BLR,Belarus,1991,0,0,0,0,0,0,0,0,0,1,,0.0,,,,,,,,,
771,BNG,Bangladesh,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
145,BOL,Bolivia,1991,0,0,0,0,0,0,0,0,0,1,81.60602328748652,0.0,,,,,,,,,
571,BOT,Botswana,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
140,BRA,Brazil,1991,0,0,0,0,0,0,0,0,0,0,36.23527752073431,0.0,,,,,,,,,
516,BUI,Burundi,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
355,BUL,Bulgaria,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
811,CAM,Cambodia,1991,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
20,CAN,Canada,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
471,CAO,Cameroon,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
402,CAP,Cape Verde,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
482,CEN,Central African Republic,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
483,CHA,Chad,1991,0,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
155,CHL,Chile,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
710,CHN,China,1991,0,0,0,0,0,0,0,0,0,0,15.68627353112737,0.0,,,,,,,,,
100,COL,Colombia,1991,0,0,0,0,0,0,0,0,0,0,36.57406627332247,0.0,,,,,,,,,
581,COM,Comoros,1991,0,1,0,0,0,0,0,0,0,1,42.36871483192053,0.0,,,,,,,,,
484,CON,Congo Brazzaville,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
94,COS,Costa Rica,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
344,CRO,Croatia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
40,CUB,Cuba,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
352,CYP,Cyprus,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
315,CZE,Czechoslovakia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
390,DEN,Denmark,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
522,DJI,Djibouti,1991,0,1,0,0,0,0,0,0,0,1,42.4187812828448,1.0,,,,,,,,,
42,DOM,Dominican Republic,1991,0,0,0,0,0,0,0,0,0,0,48.61321178049718,0.0,,,,,,,,,
130,ECU,Ecuador,1991,0,0,0,0,0,0,0,0,0,1,78.89255147138886,0.0,,,,,,,,,
651,EGY,Egypt,1991,0,0,0,0,0,0,0,0,0,1,86.64197305994051,0.0,,,,,,,,,
411,EQG,Equatorial Guinea,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
366,EST,Estonia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
530,ETH,Ethiopia,1991,0,0,0,0,0,0,1,0,0,1,66.54072643619642,1.0,,,,,,,,,
375,FIN,Finland,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
950,FJI,Fiji,1991,0,0,0,0,0,0,0,0,0,1,20.9854312846515,0.0,,,,,,,,,
220,FRN,France,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
481,GAB,Gabon,1991,0,0,0,0,0,0,0,0,0,1,87.08554973454063,0.0,,,,,,,,,
420,GAM,Gambia,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
452,GHA,Ghana,1991,0,0,0,0,0,0,0,0,0,1,67.58064841354755,1.0,,,,,,,,,
255,GMY,Germany,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
404,GNB,Guinea-Bissau,1991,0,0,0,0,0,0,0,0,0,1,118.0919845270064,0.0,,,,,,,,,
350,GRC,Greece,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
372,GRG,Georgia,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
90,GUA,Guatemala,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
438,GUI,Guinea,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
110,GUY,Guyana,1991,0,0,0,0,0,0,0,0,0,0,926.1476697275564,0.0,,,,,,,,,
41,HAI,Haiti,1991,1,1,0,0,0,0,0,0,0,1,,,,,,,,,,,
91,HON,Honduras,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
310,HUN,Hungary,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
750,IND,India,1991,0,0,0,0,0,0,0,0,0,0,31.89992605646563,0.0,,,,,,,,,
850,INS,Indonesia,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
205,IRE,Ireland,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
630,IRN,Iran,1991,0,0,0,0,0,0,0,0,0,0,8.620883209817617,0.0,,,,,,,,,
645,IRQ,Iraq,1991,0,2,0,0,0,0,0,0,0,1,,,,,,,,,,,
666,ISR,Israel,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
325,ITA,Italy,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
437,IVO,Ivory Coast,1991,0,1,0,1,0,0,0,0,0,1,,,,,,,,,,,
51,JAM,Jamaica,1991,0,0,0,0,0,0,0,0,0,0,125.769489704211,1.0,,,,,,,,,
663,JOR,Jordan,1991,0,0,0,0,0,0,0,0,0,1,243.6039600846468,0.0,,,,,,,,,
740,JPN,Japan,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
501,KEN,Kenya,1991,0,0,0,0,0,0,0,0,0,0,95.82877061341854,0.0,,,,,,,,,
690,KUW,Kuwait,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
703,KYR,Kyrgyzstan,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
705,KZK,Kazakhstan,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
812,LAO,Laos,1991,0,0,0,0,0,0,0,0,0,1,182.1955977259157,1.0,,,,,,,,,
367,LAT,Latvia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
450,LBR,Liberia,1991,0,0,0,0,0,0,0,0,0,1,457.2132317358812,0.0,,,,,,,,,
660,LEB,Lebanon,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
570,LES,Lesotho,1991,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
620,LIB,Libya,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
368,LIT,Lithuania,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
212,LUX,Luxembourg,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
435,MAA,Mauritania,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
343,MAC,Macedonia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
580,MAG,Madagascar,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
820,MAL,Malaysia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
590,MAS,Mauritius,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
553,MAW,Malawi,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
70,MEX,Mexico,1991,0,0,0,0,0,0,0,0,0,0,37.50669559107253,0.0,,,,,,,,,
359,MLD,Moldova,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
432,MLI,Mali,1991,0,1,0,0,0,0,0,0,1,1,95.50984177466924,0.0,,,,,,,,,
712,MON,Mongolia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
600,MOR,Morocco,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
775,MYA,Myanmar (Burma),1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
541,MZM,Mozambique,1991,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,
565,NAM,Namibia,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
790,NEP,Nepal,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
920,NEW,New Zealand,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
93,NIC,Nicaragua,1991,0,0,0,0,0,0,0,0,0,0,960.3758176533012,0.0,,,,,,,,,
475,NIG,Nigeria,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
436,NIR,Niger,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
385,NOR,Norway,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
210,NTH,Netherlands,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
698,OMA,Oman,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
770,PAK,Pakistan,1991,0,0,0,0,0,0,0,0,0,1,52.55318706571136,0.0,,,,,,,,,
95,PAN,Panama,1991,0,0,0,1,0,0,0,0,0,1,,0.0,,,,,,,,,
150,PAR,Paraguay,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
135,PER,Peru,1991,0,0,0,0,0,0,0,0,0,1,62.16131990450503,0.0,,,,,,,,,
840,PHI,Philippines,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
910,PNG,Papua New Guinea,1991,0,0,0,0,0,0,0,0,0,1,75.72231725345638,0.0,,,,,,,,,
290,POL,Poland,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
235,POR,Portugal,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
731,PRK,Korea North,1991,0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,
694,QAT,Qatar,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
732,ROK,Korea South,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
360,RUM,Romania,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
517,RWA,Rwanda,1991,0,0,0,0,0,0,0,0,0,1,42.61279036396981,0.0,,,,,,,,,
560,SAF,South Africa,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
92,SAL,El Salvador,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
670,SAU,Saudi Arabia,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
433,SEN,Senegal,1991,0,0,0,0,0,0,0,0,0,0,50.83759170828598,0.0,,,,,,,,,
451,SIE,Sierra Leone,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
830,SIN,Singapore,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
349,SLV,Slovenia,1991,0,0,0,0,0,0,0,0,0,0,44.47627339031344,0.0,,,,,,,,,
940,SOL,Solomon Islands,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
520,SOM,Somalia,1991,0,0,0,0,0,0,0,0,1,0,334.1587780791527,1.0,,,,,,,,,
230,SPN,Spain,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
780,SRI,Sri Lanka,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
625,SUD,Sudan,1991,0,0,0,2,0,0,0,0,0,1,,,,,,,,,,,
115,SUR,Suriname,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
572,SWA,Swaziland,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
380,SWD,Sweden,1991,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
225,SWZ,Switzerland,1991,0,0,0,0,0,0,0,0,0,0,21.24483858616655,0.0,,,,,,,,,
652,SYR,Syria,1991,0,0,0,0,0,0,0,0,0,0,,0.0,,,,,,,,,
702,TAJ,Tajikistan,1991,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
